Interaction_id_system;Interaction_date;User_id_system;Product_id;TypeInt_id;Event;Location;Quantity;Product_rating
I0684;1/02/2025 20:29;U000;P036;TipInt004;Spring Sale;London, UK;4;4.8
I0810;2/02/2025 02:27;U009;P093;TipInt001;Regular Day;Toronto, Canada;-;4
I0282;3/02/2025 14:05;U008;P072;TipInt002;Black Friday;Berlin, Germany;-;4.3
I0519;4/02/2025 01:18;U024;P003;TipInt003;Cyber Monday;Toronto, Canada;-;1.7
I0834;5/02/2025 09:42;U019;P026;TipInt003;Spring Sale;Sydney, Australia;-;3.5
I0137;6/02/2025 00:20;U002;P049;TipInt004;Holiday Sale;London, UK;2;1.3
I0557;6/02/2025 07:13;U030;P052;TipInt004;Regular Day;Berlin, Germany;4;2.5
I0453;6/02/2025 08:15;U088;P077;TipInt003;Spring Sale;New York, USA;-;3.6
I0510;6/02/2025 08:47;U068;P029;TipInt002;Regular Day;Sydney, Australia;-;3.2
I0664;6/02/2025 12:00;U005;P032;TipInt002;Holiday Sale;New York, USA;-;4.1
I0928;6/02/2025 19:58;U082;P066;TipInt004;Holiday Sale;Toronto, Canada;5;1.8
I0343;7/02/2025 02:51;U045;P097;TipInt001;Spring Sale;Berlin, Germany;-;2.5
I0281;7/02/2025 07:51;U016;P086;TipInt001;Black Friday;Sydney, Australia;-;3.9
I0049;7/02/2025 18:25;U019;P056;TipInt004;Cyber Monday;Sydney, Australia;4;4.2
I0806;7/02/2025 20:23;U017;P038;TipInt002;Holiday Sale;London, UK;-;2
I0464;7/02/2025 20:28;U045;P093;TipInt004;Cyber Monday;Berlin, Germany;1;4
I0948;8/02/2025 00:40;U065;P097;TipInt002;Regular Day;Toronto, Canada;-;2.5
I0076;8/02/2025 08:06;U083;P034;TipInt003;Spring Sale;London, UK;-;1.9
I0698;8/02/2025 10:17;U005;P098;TipInt001;Spring Sale;New York, USA;-;2.9
I0213;8/02/2025 11:06;U092;P094;TipInt002;Black Friday;New York, USA;-;2.9
I0826;8/02/2025 18:31;U034;P086;TipInt003;Cyber Monday;Toronto, Canada;-;3.9
I0609;8/02/2025 19:18;U037;P012;TipInt002;Spring Sale;Berlin, Germany;-;3.2
I0407;10/02/2025 13:59;U086;P007;TipInt004;Regular Day;London, UK;4;1.6
I0240;11/02/2025 06:03;U075;P048;TipInt001;Cyber Monday;Sydney, Australia;-;1.9
I0743;11/02/2025 21:30;U000;P090;TipInt003;Regular Day;London, UK;-;4.1
I0069;11/02/2025 23:14;U061;P010;TipInt004;Regular Day;Berlin, Germany;1;3.2
I0689;12/02/2025 05:00;U090;P041;TipInt003;Spring Sale;Toronto, Canada;-;3.7
I0682;12/02/2025 08:18;U038;P088;TipInt004;Black Friday;London, UK;5;1.9
I0035;12/02/2025 10:35;U028;P044;TipInt001;Cyber Monday;Sydney, Australia;-;2.9
I0829;12/02/2025 19:50;U041;P006;TipInt003;Regular Day;Berlin, Germany;-;3.3
I0907;1/03/2025 00:18;U097;P096;TipInt001;Black Friday;Sydney, Australia;-;2.8
I0594;1/03/2025 09:18;U082;P070;TipInt001;Black Friday;Toronto, Canada;-;4
I0289;2/03/2025 10:57;U062;P020;TipInt002;Cyber Monday;Berlin, Germany;-;1.4
I0971;2/03/2025 20:57;U044;P016;TipInt002;Holiday Sale;Berlin, Germany;-;4
I0700;3/03/2025 06:57;U049;P090;TipInt003;Black Friday;Berlin, Germany;-;4.1
I0738;3/03/2025 07:12;U029;P021;TipInt004;Black Friday;New York, USA;1;1.9
I0090;3/03/2025 14:39;U009;P085;TipInt004;Spring Sale;Toronto, Canada;2;4.5
I0257;3/03/2025 22:42;U022;P043;TipInt001;Regular Day;Toronto, Canada;-;1.6
I0915;4/03/2025 00:05;U083;P034;TipInt003;Cyber Monday;London, UK;-;1.9
I0587;4/03/2025 00:13;U024;P074;TipInt001;Regular Day;Toronto, Canada;-;2.5
I0313;5/03/2025 03:08;U003;P002;TipInt001;Black Friday;London, UK;-;1.4
I0318;5/03/2025 05:14;U046;P076;TipInt001;Black Friday;Berlin, Germany;-;2.2
I0616;5/03/2025 08:08;U071;P077;TipInt004;Cyber Monday;Toronto, Canada;5;3.6
I0321;6/03/2025 04:56;U014;P042;TipInt004;Spring Sale;Sydney, Australia;2;1.3
I0993;6/03/2025 12:25;U000;P000;TipInt004;Holiday Sale;London, UK;3;3.6
I0577;7/03/2025 06:05;U085;P012;TipInt001;Spring Sale;Berlin, Germany;-;3.2
I0712;7/03/2025 08:41;U023;P043;TipInt001;Spring Sale;London, UK;-;1.6
I0196;7/03/2025 10:39;U052;P007;TipInt001;Cyber Monday;New York, USA;-;1.6
I0009;7/03/2025 18:58;U063;P095;TipInt002;Regular Day;London, UK;-;3.3
I0643;7/03/2025 23:29;U029;P045;TipInt004;Cyber Monday;New York, USA;3;2.2
I0391;8/03/2025 01:29;U001;P068;TipInt003;Holiday Sale;Toronto, Canada;-;2.8
I0660;8/03/2025 04:25;U055;P097;TipInt001;Holiday Sale;Berlin, Germany;-;2.5
I0974;8/03/2025 05:10;U011;P075;TipInt003;Cyber Monday;Toronto, Canada;-;1.2
I0988;8/03/2025 06:15;U041;P093;TipInt004;Holiday Sale;Berlin, Germany;2;4
I0231;8/03/2025 09:51;U091;P012;TipInt004;Regular Day;London, UK;5;3.2
I0787;8/03/2025 13:01;U047;P062;TipInt001;Cyber Monday;Sydney, Australia;-;1.3
I0602;8/03/2025 16:27;U090;P064;TipInt004;Regular Day;Toronto, Canada;4;5
I0595;8/03/2025 21:28;U041;P059;TipInt002;Cyber Monday;Berlin, Germany;-;3.6
I0930;9/03/2025 04:59;U096;P012;TipInt001;Regular Day;Berlin, Germany;-;3.2
I0037;9/03/2025 06:05;U066;P053;TipInt002;Black Friday;London, UK;-;1.2
I0414;9/03/2025 16:23;U063;P057;TipInt002;Cyber Monday;London, UK;-;3.1
I0115;9/03/2025 16:42;U017;P031;TipInt003;Holiday Sale;London, UK;-;2.7
I0186;10/03/2025 01:40;U042;P030;TipInt002;Holiday Sale;London, UK;-;1.4
I0814;10/03/2025 07:34;U038;P047;TipInt004;Holiday Sale;London, UK;5;2
I0798;10/03/2025 08:04;U021;P031;TipInt001;Black Friday;Sydney, Australia;-;2.7
I0145;10/03/2025 08:45;U075;P094;TipInt002;Regular Day;Sydney, Australia;-;2.9
I0750;10/03/2025 15:37;U024;P067;TipInt002;Cyber Monday;Toronto, Canada;-;2.7
I0142;10/03/2025 15:57;U016;P079;TipInt004;Regular Day;Sydney, Australia;1;5
I0667;11/03/2025 03:54;U057;P088;TipInt004;Regular Day;New York, USA;4;1.9
I0124;11/03/2025 06:25;U057;P060;TipInt003;Spring Sale;New York, USA;-;1.6
I0790;11/03/2025 14:43;U015;P094;TipInt002;Regular Day;Sydney, Australia;-;2.9
I0953;1/04/2025 09:02;U036;P003;TipInt003;Spring Sale;Toronto, Canada;-;1.7
I0242;1/04/2025 19:52;U070;P071;TipInt003;Cyber Monday;London, UK;-;2.8
I0799;2/04/2025 16:36;U089;P041;TipInt002;Holiday Sale;Toronto, Canada;-;3.7
I0893;2/04/2025 19:21;U035;P008;TipInt001;Black Friday;Berlin, Germany;-;1.9
I0163;4/04/2025 07:31;U083;P007;TipInt003;Holiday Sale;London, UK;-;1.6
I0234;4/04/2025 09:20;U008;P006;TipInt002;Black Friday;Berlin, Germany;-;3.3
I0448;4/04/2025 21:36;U099;P002;TipInt002;Holiday Sale;London, UK;-;1.4
I0012;4/04/2025 22:38;U076;P008;TipInt004;Holiday Sale;Berlin, Germany;4;1.9
I0707;5/04/2025 12:24;U061;P000;TipInt004;Spring Sale;Berlin, Germany;2;3.6
I0610;5/04/2025 14:42;U010;P059;TipInt003;Spring Sale;Berlin, Germany;-;3.6
I0526;5/04/2025 18:38;U068;P032;TipInt004;Holiday Sale;Sydney, Australia;1;4.1
I0155;6/04/2025 06:01;U037;P089;TipInt002;Spring Sale;Berlin, Germany;-;4.3
I0293;6/04/2025 06:54;U029;P091;TipInt003;Cyber Monday;New York, USA;-;4.6
I0460;6/04/2025 09:43;U021;P092;TipInt001;Cyber Monday;Sydney, Australia;-;1.4
I0392;6/04/2025 18:36;U094;P035;TipInt002;Black Friday;Berlin, Germany;-;2.1
I0995;6/04/2025 23:48;U090;P086;TipInt002;Holiday Sale;Toronto, Canada;-;3.9
I0784;7/04/2025 16:36;U071;P098;TipInt002;Black Friday;Toronto, Canada;-;2.9
I0219;8/04/2025 09:12;U057;P063;TipInt004;Spring Sale;New York, USA;4;3.6
I0927;8/04/2025 10:22;U086;P056;TipInt003;Regular Day;London, UK;-;4.2
I0031;9/04/2025 06:19;U053;P092;TipInt001;Black Friday;New York, USA;-;1.4
I0777;9/04/2025 18:25;U050;P089;TipInt003;Black Friday;Sydney, Australia;-;4.3
I0146;10/04/2025 03:19;U051;P089;TipInt003;Spring Sale;New York, USA;-;4.3
I0958;10/04/2025 08:09;U041;P043;TipInt001;Regular Day;Berlin, Germany;-;1.6
I0555;10/04/2025 12:55;U022;P003;TipInt001;Holiday Sale;Toronto, Canada;-;1.7
I0938;11/04/2025 05:25;U064;P094;TipInt003;Regular Day;New York, USA;-;2.9
I0822;11/04/2025 13:01;U075;P055;TipInt001;Cyber Monday;Sydney, Australia;-;3.3
I0406;11/04/2025 20:23;U049;P075;TipInt004;Black Friday;Berlin, Germany;2;1.2
I0153;11/04/2025 23:08;U013;P065;TipInt002;Cyber Monday;Sydney, Australia;-;4.7
I0809;12/04/2025 02:43;U089;P050;TipInt001;Holiday Sale;Toronto, Canada;-;2.4
I0950;12/04/2025 05:54;U034;P021;TipInt002;Spring Sale;Toronto, Canada;-;1.9
I0758;12/04/2025 07:47;U041;P008;TipInt002;Cyber Monday;Berlin, Germany;-;1.9
I0634;12/04/2025 10:15;U010;P070;TipInt003;Cyber Monday;Berlin, Germany;-;4
I0860;12/04/2025 10:56;U037;P008;TipInt003;Regular Day;Berlin, Germany;-;1.9
I0394;1/05/2025 00:10;U080;P070;TipInt004;Regular Day;Berlin, Germany;4;4
I0952;1/05/2025 02:24;U081;P033;TipInt001;Holiday Sale;Sydney, Australia;-;4.1
I0554;1/05/2025 04:16;U089;P000;TipInt003;Cyber Monday;Toronto, Canada;-;3.6
I0783;1/05/2025 11:53;U067;P052;TipInt004;Black Friday;Berlin, Germany;4;2.5
I0912;2/05/2025 05:55;U051;P003;TipInt004;Holiday Sale;New York, USA;1;1.7
I0593;2/05/2025 12:10;U072;P077;TipInt004;Black Friday;Toronto, Canada;5;3.6
I0178;2/05/2025 20:18;U030;P064;TipInt003;Spring Sale;Berlin, Germany;-;5
I0803;3/05/2025 15:07;U016;P061;TipInt001;Black Friday;Sydney, Australia;-;4.3
I0891;4/05/2025 00:35;U030;P042;TipInt003;Cyber Monday;Berlin, Germany;-;1.3
I0447;4/05/2025 11:11;U004;P023;TipInt002;Cyber Monday;London, UK;-;1.7
I0906;4/05/2025 18:04;U022;P030;TipInt002;Regular Day;Toronto, Canada;-;1.4
I0123;4/05/2025 18:13;U083;P084;TipInt001;Regular Day;London, UK;-;3.7
I0410;4/05/2025 22:03;U046;P045;TipInt002;Black Friday;Berlin, Germany;-;2.2
I0729;5/05/2025 07:01;U026;P095;TipInt003;Cyber Monday;Sydney, Australia;-;3.3
I0969;5/05/2025 21:53;U057;P094;TipInt001;Holiday Sale;New York, USA;-;2.9
I0075;6/05/2025 06:16;U076;P022;TipInt002;Regular Day;Berlin, Germany;-;2.6
I0455;6/05/2025 08:13;U084;P001;TipInt002;Holiday Sale;New York, USA;-;4.9
I0876;6/05/2025 14:24;U019;P086;TipInt003;Holiday Sale;Sydney, Australia;-;3.9
I0131;7/05/2025 07:41;U066;P075;TipInt002;Spring Sale;London, UK;-;1.2
I0093;7/05/2025 11:31;U062;P083;TipInt001;Spring Sale;Berlin, Germany;-;2.2
I0252;7/05/2025 12:11;U029;P044;TipInt003;Cyber Monday;New York, USA;-;2.9
I0710;7/05/2025 17:52;U042;P041;TipInt001;Black Friday;London, UK;-;3.7
I0452;8/05/2025 03:20;U089;P086;TipInt001;Spring Sale;Toronto, Canada;-;3.9
I0794;9/05/2025 11:45;U077;P008;TipInt003;Regular Day;Sydney, Australia;-;1.9
I0325;9/05/2025 19:34;U021;P094;TipInt002;Cyber Monday;Sydney, Australia;-;2.9
I0622;10/05/2025 01:11;U016;P098;TipInt002;Cyber Monday;Sydney, Australia;-;2.9
I0633;10/05/2025 02:34;U049;P015;TipInt004;Black Friday;Berlin, Germany;4;4.8
I0191;10/05/2025 19:09;U008;P059;TipInt001;Spring Sale;Berlin, Germany;-;3.6
I0914;10/05/2025 20:01;U008;P050;TipInt003;Regular Day;Berlin, Germany;-;2.4
I0605;11/05/2025 06:27;U032;P000;TipInt001;Cyber Monday;Toronto, Canada;-;3.6
I0007;11/05/2025 23:17;U051;P042;TipInt003;Holiday Sale;New York, USA;-;1.3
I0531;12/05/2025 07:44;U016;P090;TipInt001;Cyber Monday;Sydney, Australia;-;4.1
I0905;1/06/2025 07:15;U096;P084;TipInt001;Spring Sale;Berlin, Germany;-;3.7
I0218;1/06/2025 09:46;U083;P026;TipInt004;Black Friday;London, UK;4;3.5
I0224;1/06/2025 21:57;U024;P016;TipInt001;Holiday Sale;Toronto, Canada;-;4
I0500;1/06/2025 22:22;U025;P003;TipInt002;Holiday Sale;Sydney, Australia;-;1.7
I0383;2/06/2025 00:03;U077;P051;TipInt001;Regular Day;Sydney, Australia;-;2.5
I0868;2/06/2025 12:15;U054;P001;TipInt002;Black Friday;New York, USA;-;4.9
I0589;3/06/2025 04:40;U073;P042;TipInt003;Spring Sale;Berlin, Germany;-;1.3
I0919;3/06/2025 06:11;U097;P001;TipInt002;Holiday Sale;Sydney, Australia;-;4.9
I0655;3/06/2025 09:15;U068;P023;TipInt003;Cyber Monday;Sydney, Australia;-;1.7
I0016;4/06/2025 02:29;U008;P097;TipInt002;Spring Sale;Berlin, Germany;-;2.5
I0898;4/06/2025 15:21;U021;P072;TipInt003;Holiday Sale;Sydney, Australia;-;4.3
I0963;4/06/2025 16:12;U016;P090;TipInt001;Holiday Sale;Sydney, Australia;-;4.1
I0703;4/06/2025 17:52;U045;P039;TipInt004;Holiday Sale;Berlin, Germany;5;1.8
I0225;5/06/2025 06:01;U088;P038;TipInt002;Cyber Monday;New York, USA;-;2
I0294;5/06/2025 09:12;U052;P094;TipInt004;Holiday Sale;New York, USA;4;2.9
I0118;5/06/2025 11:03;U058;P095;TipInt004;Holiday Sale;Sydney, Australia;3;3.3
I0688;5/06/2025 13:48;U043;P078;TipInt001;Cyber Monday;Toronto, Canada;-;3.4
I0256;5/06/2025 16:55;U081;P019;TipInt001;Spring Sale;Sydney, Australia;-;1.9
I0353;5/06/2025 19:50;U086;P036;TipInt001;Regular Day;London, UK;-;4.8
I0472;5/06/2025 21:50;U082;P044;TipInt002;Holiday Sale;Toronto, Canada;-;2.9
I0632;6/06/2025 05:17;U025;P079;TipInt003;Cyber Monday;Sydney, Australia;-;5
I0565;6/06/2025 12:45;U060;P033;TipInt003;Regular Day;New York, USA;-;4.1
I0747;6/06/2025 20:33;U042;P052;TipInt004;Holiday Sale;London, UK;5;2.5
I0718;7/06/2025 12:00;U010;P016;TipInt001;Regular Day;Berlin, Germany;-;4
I0854;7/06/2025 17:12;U090;P008;TipInt004;Holiday Sale;Toronto, Canada;1;1.9
I0122;8/06/2025 10:04;U056;P024;TipInt004;Black Friday;Toronto, Canada;5;3.1
I0764;9/06/2025 11:49;U085;P093;TipInt004;Black Friday;Berlin, Germany;3;4
I0886;9/06/2025 18:44;U096;P073;TipInt003;Spring Sale;Berlin, Germany;-;2.8
I0564;10/06/2025 06:37;U060;P053;TipInt002;Black Friday;New York, USA;-;1.2
I0285;10/06/2025 09:20;U015;P033;TipInt001;Black Friday;Sydney, Australia;-;4.1
I0079;10/06/2025 22:46;U065;P045;TipInt003;Black Friday;Toronto, Canada;-;2.2
I0442;11/06/2025 06:46;U054;P091;TipInt001;Spring Sale;New York, USA;-;4.6
I0121;11/06/2025 11:58;U053;P015;TipInt001;Holiday Sale;New York, USA;-;4.8
I0380;11/06/2025 20:38;U027;P065;TipInt001;Holiday Sale;Sydney, Australia;-;4.7
I0807;12/06/2025 04:10;U087;P013;TipInt001;Holiday Sale;London, UK;-;3.8
I0280;12/06/2025 10:05;U068;P037;TipInt004;Cyber Monday;Sydney, Australia;4;2.9
I0626;12/06/2025 16:35;U045;P016;TipInt004;Black Friday;Berlin, Germany;3;4
I0091;12/06/2025 21:57;U036;P023;TipInt003;Black Friday;Toronto, Canada;-;1.7
I0154;1/07/2025 04:46;U002;P018;TipInt002;Holiday Sale;London, UK;-;2.8
I0082;1/07/2025 12:03;U030;P049;TipInt004;Spring Sale;Berlin, Germany;5;1.3
I0113;1/07/2025 15:17;U059;P099;TipInt001;Regular Day;Berlin, Germany;-;1.6
I0503;1/07/2025 15:18;U041;P044;TipInt004;Holiday Sale;Berlin, Germany;1;2.9
I0140;1/07/2025 15:24;U026;P068;TipInt001;Holiday Sale;Sydney, Australia;-;2.8
I0725;1/07/2025 23:59;U001;P074;TipInt002;Cyber Monday;Toronto, Canada;-;2.5
I0072;2/07/2025 00:56;U094;P096;TipInt004;Spring Sale;Berlin, Germany;1;2.8
I0481;2/07/2025 05:08;U012;P061;TipInt003;Regular Day;Berlin, Germany;-;4.3
I0796;2/07/2025 10:38;U050;P074;TipInt002;Regular Day;Sydney, Australia;-;2.5
I0851;2/07/2025 11:18;U076;P066;TipInt001;Cyber Monday;Berlin, Germany;-;1.8
I0348;2/07/2025 12:45;U088;P063;TipInt004;Black Friday;New York, USA;4;3.6
I0378;2/07/2025 12:46;U063;P007;TipInt004;Spring Sale;London, UK;5;1.6
I0600;2/07/2025 23:42;U076;P016;TipInt001;Holiday Sale;Berlin, Germany;-;4
I0846;3/07/2025 00:28;U039;P031;TipInt004;Black Friday;New York, USA;1;2.7
I0848;3/07/2025 05:05;U006;P004;TipInt001;Spring Sale;London, UK;-;3.4
I0534;3/07/2025 10:08;U092;P009;TipInt004;Spring Sale;New York, USA;5;2.5
I0411;3/07/2025 13:04;U001;P087;TipInt003;Spring Sale;Toronto, Canada;-;2.3
I0396;4/07/2025 03:31;U064;P052;TipInt004;Spring Sale;New York, USA;5;2.5
I0786;4/07/2025 08:51;U010;P045;TipInt002;Cyber Monday;Berlin, Germany;-;2.2
I0013;4/07/2025 09:20;U039;P014;TipInt002;Black Friday;New York, USA;-;4.4
I0872;4/07/2025 12:42;U017;P089;TipInt004;Black Friday;London, UK;4;4.3
I0111;4/07/2025 14:43;U073;P031;TipInt002;Black Friday;Berlin, Germany;-;2.7
I0562;5/07/2025 17:37;U062;P009;TipInt001;Holiday Sale;Berlin, Germany;-;2.5
I0319;6/07/2025 06:25;U064;P075;TipInt001;Spring Sale;New York, USA;-;1.2
I0780;6/07/2025 07:21;U017;P013;TipInt003;Cyber Monday;London, UK;-;3.8
I0870;6/07/2025 10:56;U002;P021;TipInt003;Cyber Monday;London, UK;-;1.9
I0347;7/07/2025 00:09;U029;P067;TipInt002;Black Friday;New York, USA;-;2.7
I0931;7/07/2025 04:08;U073;P073;TipInt001;Spring Sale;Berlin, Germany;-;2.8
I0476;7/07/2025 09:47;U095;P075;TipInt001;Holiday Sale;Toronto, Canada;-;1.2
I0354;8/07/2025 04:33;U072;P007;TipInt002;Spring Sale;Toronto, Canada;-;1.6
I0983;8/07/2025 13:45;U089;P038;TipInt002;Cyber Monday;Toronto, Canada;-;2
I0272;8/07/2025 22:25;U030;P019;TipInt001;Spring Sale;Berlin, Germany;-;1.9
I0040;8/07/2025 22:45;U053;P015;TipInt002;Spring Sale;New York, USA;-;4.8
I0086;9/07/2025 04:06;U087;P052;TipInt003;Regular Day;London, UK;-;2.5
I0674;9/07/2025 09:08;U010;P060;TipInt001;Regular Day;Berlin, Germany;-;1.6
I0550;9/07/2025 13:22;U001;P019;TipInt004;Spring Sale;Toronto, Canada;5;1.9
I0138;9/07/2025 21:09;U036;P098;TipInt002;Regular Day;Toronto, Canada;-;2.9
I0357;10/07/2025 15:18;U012;P092;TipInt002;Regular Day;Berlin, Germany;-;1.4
I0415;11/07/2025 04:02;U058;P063;TipInt003;Spring Sale;Sydney, Australia;-;3.6
I0903;11/07/2025 11:20;U041;P024;TipInt002;Regular Day;Berlin, Germany;-;3.1
I0923;12/07/2025 05:34;U018;P081;TipInt004;Black Friday;Sydney, Australia;3;3.6
I0645;12/07/2025 06:21;U008;P002;TipInt004;Black Friday;Berlin, Germany;5;1.4
I0056;12/07/2025 09:48;U083;P033;TipInt001;Holiday Sale;London, UK;-;4.1
I0662;12/07/2025 16:41;U078;P063;TipInt004;Holiday Sale;Toronto, Canada;4;3.6
I0746;12/07/2025 18:35;U000;P062;TipInt002;Black Friday;London, UK;-;1.3
I0901;12/07/2025 20:43;U094;P061;TipInt002;Cyber Monday;Berlin, Germany;-;4.3
I0045;1/08/2025 05:18;U038;P072;TipInt004;Holiday Sale;London, UK;4;4.3
I0021;1/08/2025 10:02;U058;P038;TipInt003;Regular Day;Sydney, Australia;-;2
I0869;2/08/2025 03:15;U058;P029;TipInt003;Regular Day;Sydney, Australia;-;3.2
I0559;2/08/2025 21:53;U078;P064;TipInt003;Regular Day;Toronto, Canada;-;5
I0913;4/08/2025 01:22;U047;P097;TipInt003;Regular Day;Sydney, Australia;-;2.5
I0899;4/08/2025 05:13;U070;P020;TipInt001;Cyber Monday;London, UK;-;1.4
I0176;4/08/2025 13:16;U039;P003;TipInt003;Holiday Sale;New York, USA;-;1.7
I0539;4/08/2025 13:35;U023;P023;TipInt003;Regular Day;London, UK;-;1.7
I0572;4/08/2025 23:28;U019;P095;TipInt002;Holiday Sale;Sydney, Australia;-;3.3
I0431;5/08/2025 12:45;U052;P087;TipInt001;Holiday Sale;New York, USA;-;2.3
I0885;5/08/2025 13:08;U097;P084;TipInt002;Cyber Monday;Sydney, Australia;-;3.7
I0103;5/08/2025 17:47;U035;P027;TipInt002;Regular Day;Berlin, Germany;-;1.6
I0193;5/08/2025 22:47;U085;P059;TipInt002;Spring Sale;Berlin, Germany;-;3.6
I0316;6/08/2025 05:41;U013;P089;TipInt003;Black Friday;Sydney, Australia;-;4.3
I0440;6/08/2025 09:19;U047;P057;TipInt002;Cyber Monday;Sydney, Australia;-;3.1
I0393;6/08/2025 16:09;U028;P006;TipInt001;Regular Day;Sydney, Australia;-;3.3
I0929;7/08/2025 03:07;U025;P012;TipInt004;Holiday Sale;Sydney, Australia;3;3.2
I0389;7/08/2025 07:50;U049;P054;TipInt004;Regular Day;Berlin, Germany;4;1.8
I0724;7/08/2025 09:04;U050;P060;TipInt002;Regular Day;Sydney, Australia;-;1.6
I0190;7/08/2025 21:44;U040;P080;TipInt002;Spring Sale;Berlin, Germany;-;2.8
I0221;8/08/2025 02:25;U040;P020;TipInt004;Spring Sale;Berlin, Germany;1;1.4
I0977;8/08/2025 17:00;U092;P070;TipInt003;Cyber Monday;New York, USA;-;4
I0105;8/08/2025 20:35;U013;P075;TipInt004;Black Friday;Sydney, Australia;5;1.2
I0858;9/08/2025 03:08;U024;P059;TipInt004;Cyber Monday;Toronto, Canada;2;3.6
I0363;9/08/2025 05:42;U080;P025;TipInt004;Spring Sale;Berlin, Germany;2;1.8
I0599;9/08/2025 09:34;U075;P094;TipInt004;Holiday Sale;Sydney, Australia;1;2.9
I0259;10/08/2025 15:15;U001;P091;TipInt001;Black Friday;Toronto, Canada;-;4.6
I0253;10/08/2025 23:05;U012;P003;TipInt004;Holiday Sale;Berlin, Germany;5;1.7
I0126;11/08/2025 13:06;U035;P026;TipInt004;Holiday Sale;Berlin, Germany;1;3.5
I0336;12/08/2025 06:04;U043;P071;TipInt001;Regular Day;Toronto, Canada;-;2.8
I0813;12/08/2025 10:02;U077;P022;TipInt001;Holiday Sale;Sydney, Australia;-;2.6
I0006;12/08/2025 12:14;U065;P021;TipInt004;Cyber Monday;Toronto, Canada;4;1.9
I0982;1/09/2025 08:54;U077;P033;TipInt004;Black Friday;Sydney, Australia;4;4.1
I0490;1/09/2025 19:25;U057;P074;TipInt002;Cyber Monday;New York, USA;-;2.5
I0026;2/09/2025 18:22;U074;P077;TipInt004;Holiday Sale;New York, USA;5;3.6
I0027;2/09/2025 20:06;U059;P018;TipInt001;Holiday Sale;Berlin, Germany;-;2.8
I0578;3/09/2025 05:11;U088;P085;TipInt004;Spring Sale;New York, USA;1;4.5
I0558;3/09/2025 16:05;U099;P007;TipInt003;Black Friday;London, UK;-;1.6
